الترتيب,اسم التطبيق (عربي),اسم التطبيق (إنجليزي),نوع الوحدة,الحد الأدنى,سعر الحد الأدنى (دولار),سعر الوحدة الواحدة (دولار)
1,بارتي ستار,Party Star,ماسة,800,0.86,0.0011
2,سول شيل,SoulChill,ماسة,1000,1.807,0.0018
3,بيغو لايف,Bigo Live,ماسة,50,0.909,0.0182
4,سوجو شات,Sugo Chat,ماسة,7500,1.063,0.0001
5,لايكي لايف,Likee Live,ماسة,50,0.938,0.0188
6,ميكو شات,Mico Chat,ماسة,500,0.169,0.0003
7,يوهو واكا,Yohowaka,ماسة,8000,0.84,0.0001
8,يا اهلن شات,Yaahlan Chat,ماسة,1000,1.84,0.0018
9,تامي شات,Tami Chat,ماسة,10000,0.869,0.0001
10,زينا لايف,Zena Live,ماسة,10000,1.116,0.0001
11,هايوو,Hayo,ماسة,1500,0.767,0.0005
12,سول ستار,Soul Star,ماسة,8000,0.894,0.0001
13,سوماتش,Soulmatch,ماسة,1000,0.131,0.0001
14,واهو شات,Waho Chat,ماسة,8000,0.892,0.0001
15,ليلى,Layla,ماسة,4000,0.914,0.0002
16,جانكو شات,Janko Chat,ماسة,30000,0.645,0.0000
17,صدفة شات,Sadaqa Chat,ماسة,10000,0.542,0.0001
18,مجلس,Majles,ماسة,800,0.87,0.0011
19,بوببو لايف,Poppo Live,ماسة,8000,0.848,0.0001
20,هاي بارتي,Hi Party,ماسة,8000,0.848,0.0001
21,فوفو شات,Fofo Chat,ماسة,100000,0.89,0.0000
22,4بارتي,4Party,ماسة,12000,1.029,0.0001
23,ستار ميكر,StarMaker,ماسة,100,1.083,0.0108
24,يامي ستار,Yami Star,ماسة,10000,0.008,0.0000
25,كاراك شات,Karak Chat,ماسة,5000,0.088,0.0000
26,روستار,Roustar,ماسة,4000,0.724,0.0002
27,هووب لايف,Howb Live,ماسة,40000,0.658,0.0000
28,ليت شات,Lit Chat,ماسة,5000,0.965,0.0002
29,هالو ستار,Halo Star,ماسة,1000000,0.763,0.0000
30,فيلا شات,Vila Chat,ماسة,30000,0.837,0.0000
31,واو شات,Wow Chat,ماسة,30000,0.927,0.0000
32,هابي شات,Habi Chat,ماسة,8000,0.87,0.0001
33,جيمي لايف,Jami Live,ماسة,7000,0.949,0.0001
